Accession	Description	Topology	Size (bp)	Phylum	Class	Order	Family	Genus	Species	Plasmid	Strain	Collection date	Country	REP types	MOB types	MPF types 	OriT types	Predicted Mobility
AB007909.1	Propionibacterium acidi-propionici (strain:E214) plasmid pRGO1, complete sequence	circular	6868	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Acidipropionibacterium	Acidipropionibacterium acidipropionici	pRGO1	E214	NA	NA	rep_cluster_1324	NA	NA	NA	Non-mobilizable
AB024514.1	Lactobacillus plantarum plasmid pLTK2, complete sequence	circular	2295	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum	pLTK2	L137	NA	NA	rep_cluster_1102	NA	NA	NA	Non-mobilizable
AB079380.1	Lactococcus lactis subsp. lactis bv. diacetylactis cryptic plasmid pDR1-1B, complete sequence	circular	7344	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis	cryptic plasmid pDR1-1B	DRC1	NA	NA	rep_cluster_556	NA	NA	MOBP	Mobilizable
AB109805.1	Actinobacillus pleuropneumoniae plasmid pMS260, complete sequence	circular	8124	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus	Actinobacillus pleuropneumoniae	pMS260	NA	NA	Japan	IncQ1	MOBQ	NA	MOBQ	Mobilizable
AB116387.1	Magnetospirillum magneticum plasmid pMGT, complete sequence	circular	3741	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospirillum	Magnetospirillum magneticum	pMGT	MGT-1	NA	NA	NA	NA	NA	NA	Non-mobilizable
AB118106.1	Lactobacillus brevis plasmid pRH45II, complete sequence	circular	23381	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus brevis	pRH45II	ABBC45	NA	Japan	rep_cluster_707	MOBQ	NA	NA	Mobilizable
AB193120.1	Eikenella corrodens plasmid pMU1, complete sequence	circular	8696	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Eikenella	Eikenella corrodens	pMU1	1073	NA	NA	NA	NA	NA	NA	Non-mobilizable
AB211496.1	Campylobacter lari plasmid pCL300, complete sequence	circular	3634	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter lari	pCL300	300	NA	NA	rep_cluster_912	NA	NA	NA	Non-mobilizable
AB534719.1	Sphingopyxis macrogoltabida plasmid pSM103mini, complete sequence	circular	4328	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	Sphingopyxis macrogoltabida	pSM103mini	103	NA	NA	rep_cluster_1286	NA	NA	NA	Non-mobilizable
AE001272.1	Lactococcus lactis strain DPC3147 plasmid pMRC01, complete sequence	circular	60232	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis	pMRC01	DPC3147	NA	NA	rep_cluster_664	MOBQ	MPF_T	NA	Conjugative
AE002565.1	Enterococcus faecalis plasmid pAM373, complete sequence	circular	36804	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	pAM373	NA	NA	NA	rep_cluster_971	MOBC	NA	NA	Mobilizable
AE007872.2	Agrobacterium tumefaciens str. C58 plasmid At, complete sequence	circular	542868	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium fabrum	At	C58	NA	NA	NA	MOBQ	MPF_T	NA	Conjugative
AE011191.1	Bacillus anthracis str. A2012 plasmid pXO2, complete sequence	circular	94829	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus anthracis	pXO2	A2012	NA	NA	rep_cluster_163	MOB_Unknown	MPF_T	NA	Conjugative
AE016855.1	Pseudomonas syringae pv. tomato str. DC3000 plasmid pDC3000A, complete sequence	circular	73661	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas syringae group genomosp. 3	pDC3000A	DC3000	NA	NA	rep_cluster_283	MOBP	MPF_I	NA	Conjugative
AE017171.1	Staphylococcus aureus plasmid pLW043, complete sequence	circular	57889	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus	pLW043	NA	NA	NA	rep_cluster_1281,rep_cluster_1142	MOBQ	MPF_T	NA	Conjugative
AF001314.2	Lactococcus lactis plasmid pSRQ900, complete sequence	circular	10836	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis	pSRQ900	W-37	NA	NA	rep_cluster_554	NA	NA	MOBP	Mobilizable
AF003958.2	Acinetobacter sp. SUN resistance plasmid pRAY, complete genome	circular	6076	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter sp. SUN	pRAY	NA	NA	NA	NA	NA	NA	MOBP	Mobilizable
AF015088.1	Rhodococcus erythropolis plasmid pFAJ2600 complete sequence	circular	5936	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus erythropolis	pFAJ2600	NI86/21	NA	NA	rep_cluster_1639	NA	NA	NA	Non-mobilizable
AF022180.1	Streptococcus thermophilus strain ST371 cryptic plasmid pER371, complete sequence	circular	2672	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus thermophilus	pER371	ST371	NA	NA	rep_cluster_1535	NA	NA	NA	Non-mobilizable
AF022647.1	Fusobacterium nucleatum plasmid pPA52, complete sequence	circular	6281	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium nucleatum	pPA52	FDC 27-17	NA	NA	rep_cluster_457	MOBP	NA	NA	Mobilizable
AF025795.1	Salmonella enterica subsp. enterica serovar Berta plasmid pBERT, complete sequence	circular	4656	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	pBERT	NA	NA	NA	ColRNAI_rep_cluster_1987	MOBP	NA	MOBP	Mobilizable
AF027303.1	Helicobacter pylori plasmid pHP489, complete plasmid sequence	linear	1222	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori	pHP489	489	NA	NA	rep_cluster_1762	NA	NA	NA	Non-mobilizable
AF028735.2	Erysipelothrix rhusiopathiae plasmid pAP1, complete sequence	circular	1987	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelothrix	Erysipelothrix rhusiopathiae	pAP1	S-1	NA	NA	NA	NA	NA	NA	Non-mobilizable
AF036485.2	Lactococcus lactis subsp. cremoris plasmid pNZ4000, complete sequence	circular	42810	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis	pNZ4000	NIZO B40	NA	NA	rep_cluster_554,rep_cluster_656,rep_cluster_414,rep_cluster_414	MOB_Unknown,MOBP	NA	MOBQ,MOBP,MOBP	Mobilizable
AF036712.1	Bacillus pumilus plasmid pPL10, complete plasmid sequence	circular	7028	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus pumilus	pPL10	ATCC 12140	NA	NA	Inc13	MOBV	NA	NA	Mobilizable
AF041836.1	Buchnera aphidicola (Schizaphis graminum) plasmid pLeu-Sg, complete plasmid sequence	circular	7967	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Buchnera aphidicola	pLeu-Sg	NA	NA	NA	rep_cluster_1374	NA	NA	NA	Non-mobilizable
AF047385.1	Streptococcus pneumoniae plasmid pSMB1, complete sequence	circular	3162	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae	pSMB1	A6011	NA	NA	rep_cluster_1136	NA	NA	NA	Non-mobilizable
